"Quarter","Economic_Sector","Employment","Average_Weekly_Earnings_Seasonally_Adjusted"
2018-01-01,"Professional, scientific and technical activities (M)",92000,916.61
2018-01-01,"Administrative and support service activities (N)",97900,546.43
2018-01-01,"Public administration and defence; compulsory social security (O)",125300,960.95
2018-01-01,"Education (P)",154100,843.8
2018-01-01,"Human health and social work activities (Q)",236200,710.48
2018-01-01,"Arts, entertainment and recreation (R)",28600,514.2
2018-01-01,"Other service activities (S)",27700,436.58
2018-01-01,"Industry (B to E)",225200,885.22
2018-01-01,"Electricity, water supply and waste management (D,E)",15600,1081.93
2018-01-01,"Financial, insurance and real estate activities (K,L)",89800,1105.93
2018-01-01,"Arts, entertainment, recreation and other service activities (R,S)",56200,476.41
2018-04-01,"Mining and quarrying (B)",6100,996.59
2018-04-01,"Manufacturing (C)",199400,874.47
2018-04-01,"Construction (F)",106200,775.4
2018-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",302200,572.14
2018-04-01,"Transportation and storage (H)",76400,799.28
2018-04-01,"Accommodation and food service activities (I)",180900,347.33
2018-04-01,"Information and communication (J)",71400,1183.67
2018-04-01,"Financial and insurance activities (K)",82900,1175.16
2018-04-01,"Real estate activities (L)",11200,742.6
2018-04-01,"Professional, scientific and technical activities (M)",97900,917.98
2018-04-01,"Administrative and support service activities (N)",103000,552.94
2018-04-01,"Public administration and defence; compulsory social security (O)",128300,959.33
2018-04-01,"Education (P)",154900,842.82
2018-04-01,"Human health and social work activities (Q)",244900,717.07
2018-04-01,"Arts, entertainment and recreation (R)",28100,519.73
2018-04-01,"Other service activities (S)",26400,446.15
2018-04-01,"Industry (B to E)",220900,894.11
2018-04-01,"Electricity, water supply and waste management (D,E)",15300,1115.55
2018-04-01,"Financial, insurance and real estate activities (K,L)",94100,1122.37
2018-04-01,"Arts, entertainment, recreation and other service activities (R,S)",54500,484.13
2018-07-01,"Mining and quarrying (B)",5200,942.97
2018-07-01,"Manufacturing (C)",211000,880.77
2018-07-01,"Construction (F)",110300,794.7
2018-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",304200,572.88
2018-07-01,"Transportation and storage (H)",78200,818.47
2018-07-01,"Accommodation and food service activities (I)",187600,362.81
2018-07-01,"Information and communication (J)",76900,1191.96
2018-07-01,"Financial and insurance activities (K)",78400,1189.4
2018-07-01,"Real estate activities (L)",9200,729.24
2018-07-01,"Professional, scientific and technical activities (M)",95200,916.58
2018-07-01,"Administrative and support service activities (N)",103200,581.84
2018-07-01,"Public administration and defence; compulsory social security (O)",126900,951.93
2018-07-01,"Education (P)",159900,852.85
2018-07-01,"Human health and social work activities (Q)",242700,720.78
2018-07-01,"Arts, entertainment and recreation (R)",32400,530.93
2018-07-01,"Other service activities (S)",27100,464
2018-07-01,"Industry (B to E)",232300,899.14
2018-07-01,"Electricity, water supply and waste management (D,E)",16100,1135.5
2018-07-01,"Financial, insurance and real estate activities (K,L)",87600,1136.77
2018-07-01,"Arts, entertainment, recreation and other service activities (R,S)",59500,499.94
2018-10-01,"Mining and quarrying (B)",5600,993.71
2018-10-01,"Manufacturing (C)",204100,879.05
2018-10-01,"Construction (F)",107300,781.25
2018-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",312400,586.47
2018-10-01,"Transportation and storage (H)",79100,833.37
2018-10-01,"Accommodation and food service activities (I)",182200,352.28
2018-10-01,"Information and communication (J)",73100,1190.7
2018-10-01,"Financial and insurance activities (K)",79100,1194.15
2018-10-01,"Real estate activities (L)",11800,732.88
2018-10-01,"Professional, scientific and technical activities (M)",94800,913.27
2018-10-01,"Administrative and support service activities (N)",108800,597.81
2018-10-01,"Public administration and defence; compulsory social security (O)",130800,952.05
2018-10-01,"Education (P)",166700,848.63
2018-10-01,"Human health and social work activities (Q)",251900,722.53
2018-10-01,"Arts, entertainment and recreation (R)",28100,530.09
2018-10-01,"Other service activities (S)",27200,452.89
2018-10-01,"Industry (B to E)",225300,897.53
2018-10-01,"Electricity, water supply and waste management (D,E)",15500,1101.17
2018-10-01,"Financial, insurance and real estate activities (K,L)",91000,1140.84
2018-10-01,"Arts, entertainment, recreation and other service activities (R,S)",55400,491.62
2019-01-01,"Mining and quarrying (B)",5100,960.62
2019-01-01,"Manufacturing (C)",209500,879.93
2019-01-01,"Construction (F)",106300,785.97
2019-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",309100,595.24
2019-01-01,"Transportation and storage (H)",83700,830.24
2019-01-01,"Accommodation and food service activities (I)",181200,361.22
2019-01-01,"Information and communication (J)",73900,1215.41
2019-01-01,"Financial and insurance activities (K)",84900,1198.22
2019-01-01,"Real estate activities (L)",10100,756
2019-01-01,"Professional, scientific and technical activities (M)",98500,907.02
2019-01-01,"Administrative and support service activities (N)",108700,605.39
2019-01-01,"Public administration and defence; compulsory social security (O)",134400,963.62
2019-01-01,"Education (P)",168200,848.28
2019-01-01,"Human health and social work activities (Q)",249400,724.01
2019-01-01,"Arts, entertainment and recreation (R)",28100,554.4
